Country,Code
Afghanistan,24217
African Union,17673
Albania,17605
Algeria,17606
Angola,17607
Antigua and Barbuda,24156
Argentina,24155
Armenia,17589
Azerbaijan,17596
Bahrain,17608
Bangladesh,17609
Belarus,17610
Belize,24157
Benin,24158
Bhutan,24159
Bolivia,17578
Bosnia-Herzegovina,17599
Botswana,24160
Bougainville,24161
Brazil,24162
Brussels,17593
Bulgaria,17586
Burkina Faso,17672
Burma/Myanmar,25335
Burundi,17612
Cambodia,17613
Cameroon,24163
Cape Verde,24164
Central African Republic,24293
Chad,24165
Chile,24166
China,17615
Colombia,17671
Comoros,24167
Congo,24168
Costa Rica,24169
Côte d’Ivoire,17597
Croatia,17579
Cuba,17616
Czech Republic,24170
Democratic Republic of Congo (DRC),17617
Djibouti,24171
Dominica,24172
Dominican Republic,17580
Ecuador,17584
Egypt,17618
El Salvador,17590
Equatorial Guinea,24173
Ethiopia,25653
Ethiopia,24174
Fiji,24175
Gabon,24176
Georgia,17619
Ghana,17601
Guatemala,17620
Guinea,17621
Guinea Bissau,17575
Guyana,24177
Haiti,17622
Honduras,17623
Hong Kong,17624
Hungary,18363
India,24180
Indonesia,17625
Iran,17626
Iraq,17627
Jamaica,24178
Jordan,17628
Kazakhstan,17591
Kenya,17629
Kosovo,17630
Kuwait,17631
Kyrgyzstan,17632
Laos,18362
Lebanon,17633
Lesotho,24181
Liberia,17634
Libya,17635
Lithuania,17577
Madagascar,17637
Malawi,17668
MALAYSIA,25902
Malaysia,17638
Maldives,24183
Mali,17639
Mauritania,17595
Mauritius,24185
Mexico,17640
Moldova,17641
Mongolia,24186
Montenegro,17588
Morocco,17642
Mozambique,17643
Namibia,24189
Nepal,17644
Nicaragua,17645
Niger,17646
Nigeria,17647
North Korea,18361
North Macedonia,17636
Oman,24191
Pacific Islands,25762
Pakistan,17648
Panama,24192
Papua New Guinea,24193
Paraguay,24194
Peru,17649
Philippines,17650
Poland,17651
Qatar,17592
Regional: Democratic Unity ,25810
Romania,17653
Russia,24285
Rwanda,17582
Samoa,24197
Sao Tome and Principe,24198
Saudi Arabia,17655
Senegal,24199
Serbia,17656
Seychelles,24200
Sierra Leone,17602
Singapore,24201
Slovakia,17657
Slovenia,24202
Solomon Islands,24203
Somalia,17658
Somalia (Puntland),24204
Somaliland,24206
South Africa,24208
South Sudan,17659
Sri Lanka,17660
St. Kitts and Nevis,24207
St. Lucia,24205
Sudan,17661
Swaziland,24196
Syria,17669
Taiwan,25761
Tajikistan,24195
Tanzania,17674
Thailand,17662
The Gambia,24190
Timor Leste,17581
Togo,17583
Tunisia,17663
Turkey,17675
Turkmenistan,24184
Uganda,17598
Ukraine,24931
Ukraine-old,17664
Uruguay,24182
Uzbekistan,17665
Venezuela,17587
Vietnam,18360
West Bank and Gaza,17666
Yemen,17667
Zambia,17603
Zimbabwe,24179
